 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Label
48722,194693,42,32,3241,12389,814,90,911.036500540864,343.6837869412434,1217,5,649.2158278323593,314.0749292377482,689038.2219328374,8100.242028695993,1,0,1,1,0,1,1,1,0.5504615083768454,BENIGN
48467,234214,12,12,14109,5661,1378,50,183.27076214856845,467.862924910332,876,88,371.97943112122414,225.17765000581093,715083.8091253624,6167.083664438564,1,0,0,0,0,1,0,1,0.9250791729388724,BENIGN
51223,427738,6,22,4225,2785,344,8,653.168523546461,9.55680535836828,1155,99,72.18075274404971,390.5541623031184,982563.6557491708,1578.6022019266595,1,0,1,1,0,1,1,0,1.203761776440199,BENIGN
18145,936377,3,2,14440,14307,103,16,244.50991975911165,340.47988765359395,951,29,732.0820480838986,283.238855158169,491335.7550700096,9802.535468960905,0,1,0,0,0,1,0,0,1.9996316906514964,PortScan
38161,498686,2,6,6658,1294,1328,24,819.5658428177662,324.32323559311334,905,38,187.74243990256997,224.9718281480104,725255.2657528364,3429.297715400678,0,0,1,0,1,1,0,0,1.900825054707892,BENIGN
60180,159477,11,2,5112,7214,687,2,320.8765164216733,397.164096581189,102,26,195.14790996129372,180.3488983237248,211576.8463204293,8591.072248935658,0,0,0,0,1,0,1,1,0.6490852220749221,BENIGN
57404,160373,35,20,9719,11,785,25,524.2509283566034,183.81518305030016,57,89,385.52822072483815,160.93527284127194,94936.71738609252,4912.793792642962,0,1,1,1,0,0,1,0,0.7027731531300891,BENIGN
49396,706792,43,14,9218,969,360,47,356.6737728281512,188.5480777846995,897,71,311.9839835869201,391.1353422595047,111499.95074372477,5419.168448543878,1,1,0,1,0,1,1,1,1.1184038889505996,BENIGN
55656,869743,12,10,881,14170,991,21,818.9995491346627,476.4482439029608,952,12,957.1388868291727,97.50595246502483,41559.501818679,4385.232338567623,1,1,1,1,1,0,0,1,1.6210115910793843,BENIGN
30760,656167,34,27,13430,4865,1361,97,242.5240758909095,23.808929465847367,243,70,598.9780930339303,128.09040565555546,142880.02207703257,2662.9657166031766,1,0,1,0,0,1,0,1,1.3513795773294874,BENIGN
37384,393432,49,43,12463,7994,1210,71,270.9861447533644,460.1556552170632,773,17,521.392327539327,112.7363368181164,93497.36275423908,1108.7305021927605,0,0,0,0,0,1,0,1,0.7018628459428738,DDoS
4641,443058,36,23,11610,14311,1092,4,192.3995805617502,427.1013328128811,556,55,581.916101932509,99.44629681699335,562912.8601144025,4796.93164861976,0,0,0,0,1,1,0,1,0.6698456588159883,BENIGN
16478,553344,8,26,5250,1020,950,83,281.64714471114337,9.744891871475309,1288,89,203.59347909495864,74.98078655862233,641425.2874529811,1769.467884875144,1,1,0,1,0,1,0,1,0.9323913307663454,BENIGN
19625,702015,24,12,206,806,321,85,991.0090278611052,201.7707551546144,1109,44,774.9133751436037,258.33384694708974,414545.1343757747,2922.750119261788,0,1,0,1,1,1,0,1,1.0740716996954327,DoS
11621,867968,32,23,4506,12532,853,39,101.14613986860246,304.51631269462746,624,80,189.3112690884872,16.08656898010723,414508.5929986393,7462.92443376677,0,0,1,1,0,0,1,1,1.335159277412225,DDoS
64152,535427,22,12,4434,8838,595,81,919.417520327268,226.45301220584335,273,52,809.5795083392267,195.24296477303216,902790.2849445367,3546.5123377115906,1,1,1,1,1,0,0,0,1.993652445446699,BENIGN
35267,641180,41,14,6748,13182,889,18,888.6049723967265,209.7541536484721,411,9,890.8299134047742,346.0917954041761,528808.3755997132,134.64283769754277,1,1,0,0,0,1,1,1,1.86225887200518,BENIGN
50377,69123,33,29,1646,5583,348,16,257.3560087107168,350.0842079031627,1062,19,788.0192351943062,240.80042472263983,668242.3908445311,1283.1168678874617,1,1,1,0,0,1,1,0,1.89828600088042,BENIGN
48776,97853,7,7,14890,6721,952,86,446.5832675390544,246.0356530534279,1047,91,537.9910526058513,263.07021771747714,790376.9701079752,4910.981077068439,0,0,1,1,1,0,0,0,1.8516801175378117,BENIGN
5064,943655,31,45,3430,1327,1364,67,388.2444938739253,472.20271736495016,711,51,109.30178227017176,377.8974848634418,969067.6032026554,5622.554664157069,0,1,0,0,0,1,1,0,1.1034935402208084,BruteForce
15198,211752,12,47,7867,7043,1307,22,611.8254819886041,37.37673519125079,1447,9,534.8524902887461,384.2062965775799,334705.32373849594,4775.217647616471,0,1,1,1,1,1,1,1,1.242836670470503,DDoS
56198,294055,1,19,5905,1210,1375,52,52.33185712165201,95.32578389411852,401,23,141.30481449027153,207.71296789379363,252279.8590245609,7499.5362633062205,1,1,1,1,1,1,0,0,1.2502629486540706,BENIGN
6258,564750,41,36,14896,3202,125,2,246.4093134532272,276.8911290234831,568,11,106.46998387637063,204.9584674965496,15318.186767142108,3757.826626162556,1,1,0,0,0,1,1,0,1.3889027168833552,BENIGN
5664,642805,28,4,5493,2871,830,42,662.147415467939,278.6099865603682,846,12,575.3850107856334,305.11724876229727,455088.8591250132,5598.777415271477,0,0,1,1,0,0,1,1,1.1087359945797326,BENIGN
64766,523395,32,40,13764,4671,674,14,812.9679578700867,301.8447255428894,72,30,596.5039295981729,455.2335167631481,872925.4996011222,9785.045330593985,0,0,0,0,1,1,0,0,1.944886229600748,BENIGN
47793,884705,17,24,2111,11815,659,7,985.302182742073,196.44175985454493,846,94,615.0537980892483,400.5078589453781,178798.01948559826,2968.8323737030987,0,1,1,0,0,0,0,1,1.5151749638816838,DoS
65045,219157,48,27,11502,11366,431,88,323.9860640869311,122.09754746667,161,60,699.1169643059363,14.063002678252332,48877.74313691075,6849.380483070043,0,1,1,0,0,1,1,1,1.413104791717818,DDoS
19935,244840,49,40,75,6554,382,23,383.8695897971493,282.12134231407595,217,2,135.12670737280013,32.01725374181589,670635.5754094615,2417.8345648129457,1,1,0,1,0,1,0,1,1.4277316539088565,BENIGN
47315,281653,9,7,8071,3392,1094,42,828.367064683918,87.84692770969241,443,79,382.9014432252878,84.9630226699384,487988.66850878816,9841.226649175653,0,0,0,1,1,1,1,1,0.8889105238511097,BENIGN
51352,196050,4,32,14139,1565,505,83,362.6410862990216,292.6867446523962,356,75,236.15898007884192,427.4343474795348,274024.5688622473,7351.876062345208,1,1,1,1,0,1,0,1,0.7035089404534822,BENIGN
866,3192,12,2,4761,13807,881,96,318.2100331953453,391.5619239962946,965,54,499.9383549887745,423.66898668499744,431007.56850496907,8424.431993003509,0,1,1,0,1,1,1,1,1.8210927167734496,BENIGN
3324,994424,47,33,7869,3794,235,74,638.1384405075637,479.4655561262898,336,12,962.819675467881,376.83993583087056,46046.87993946666,8851.770157027106,1,0,1,0,1,1,1,0,1.1327965128792925,BENIGN
29612,789353,3,23,12279,8282,1469,17,344.27635402592773,271.9191110315592,375,85,246.60549435119785,404.39968149430666,741453.2333550818,5843.939673846238,1,0,0,1,0,0,1,1,0.5943761786971138,BENIGN
38538,571140,40,13,149,9497,455,82,352.04236322148165,168.5270559060352,510,72,180.2207205511992,474.2449349445263,470975.8675597575,2882.4609528672886,1,0,1,0,0,0,0,0,0.5500202945818147,BENIGN
21611,529394,25,35,8990,11904,207,68,223.7490837127393,465.8591551573935,983,30,77.40598027552059,436.29200669517326,133755.60071566276,2065.1335133039124,1,0,1,1,0,0,0,1,1.9096344879876952,BENIGN
322,872702,20,16,10325,11865,783,31,407.99378296535735,498.7036577728375,1018,28,367.96470979321,93.4335571588682,274043.9057910865,9864.234693697324,0,0,1,0,0,1,1,0,0.980598882526218,BENIGN
32600,702975,17,13,2527,14331,481,34,645.140662491353,122.35325734032622,71,6,998.7870918108282,374.10865080177024,136578.36292400435,8134.732261212933,1,0,0,1,1,0,1,1,0.6455711322966738,BENIGN
30374,521999,18,31,12047,1756,166,72,234.8882916083369,338.8483303265999,808,83,352.129624882139,389.35030591586064,64764.860901067244,6524.813390517634,0,0,1,0,1,0,1,0,0.8579526261772575,BENIGN
28713,109997,20,17,8097,10256,60,7,769.2930512920673,69.05448529629112,932,30,731.7365015182963,137.82387723406606,243033.91779070368,5161.7154500122,0,0,0,0,0,0,0,0,1.467505789288794,BENIGN
31723,870849,27,9,163,422,1464,91,945.8963701057392,51.941067227830175,566,14,562.9153224482559,149.6522931772859,61537.09876603098,3646.190332721763,0,0,1,1,1,0,1,0,0.5280935735386868,BENIGN
32625,631229,30,4,10033,139,1273,1,208.3361767686257,161.97089703168533,754,36,78.75887883633116,405.9500170149555,547050.6149317827,117.42787509820384,0,0,1,1,0,0,0,1,1.3437370746763015,DDoS
45785,881719,47,11,768,8750,398,63,950.222376527336,134.84634583193963,1098,80,315.0902677737472,492.0689008168911,222442.5240847204,3832.1168801096655,0,1,1,1,0,0,0,1,1.694963956008517,BENIGN
23318,148187,3,10,2952,1674,744,3,669.7498591633562,13.177207741981114,1249,34,57.68592089652245,344.13653429643193,740342.2990737646,5634.018715640932,0,0,0,0,0,0,0,1,1.7570396279248008,DoS
49517,795929,27,11,5017,9968,682,83,904.7716345998446,24.70381319493323,1301,4,856.1478720260103,288.60949448022205,917840.1042181668,3541.406440859509,0,1,1,0,1,0,1,1,0.7881813518219895,BENIGN
19553,404241,22,2,472,5833,1487,79,870.4755853324764,92.68615808416264,295,66,614.6279891470948,390.3110343945729,940399.1862116412,6862.8660989407135,0,0,1,0,1,1,1,1,1.0141378348646095,BruteForce
1288,445398,37,45,5799,7922,75,35,603.263482096702,393.9104086153518,922,58,573.0552709409525,225.41721423734168,605501.6555081219,3451.8513285590034,1,1,1,1,1,1,0,0,1.9900140459516789,DDoS
27276,785644,2,13,725,9891,375,75,837.2080370367921,410.857603496795,330,84,585.0119304240371,471.5193734296311,23294.24049846974,625.954482069513,0,1,0,1,1,1,0,1,1.1947459522893555,BruteForce
57021,433817,38,22,12855,8107,832,28,475.2426790322487,11.761642300469545,774,9,222.15103650264703,249.0273561201057,329016.0003087913,1990.207209848881,1,1,1,1,1,0,0,0,0.9955329987265562,BENIGN
60141,669649,39,16,5706,9678,1002,21,290.5830948882383,220.03796836857308,1230,91,731.7756758308219,90.3062930067296,192870.55246713024,1850.06584201498,0,1,0,0,1,0,1,1,0.8506803864672383,BENIGN
35757,607746,3,38,9411,11318,646,27,143.51567155094125,178.59765207821005,1074,47,200.9238142511089,382.9690871659549,52359.19637954956,499.37665822717486,1,0,0,1,1,0,1,0,0.6065567412189103,BENIGN
53433,178937,47,7,822,12994,1273,87,840.4387022578371,109.67780842462452,204,25,521.4822370582676,206.7255794239152,357921.65117394004,9110.02701549649,0,1,0,1,0,0,1,1,1.440338220352173,BENIGN
63059,589922,16,22,12178,105,149,77,492.57774326155,36.86556733994461,323,49,464.15169291336616,391.0610516852187,479689.0435363853,4519.338687979992,1,0,1,0,1,1,1,0,1.983359049799391,BENIGN
52122,795379,31,15,7423,9197,1349,87,269.4843310497065,329.2372247205195,917,96,413.0030467900606,495.40107358314447,351723.8307559051,1868.6674371430995,0,1,1,0,1,1,1,1,0.6289160400926443,BENIGN
47858,663097,44,6,14386,5612,592,96,739.6703403619299,461.3135222761536,750,60,170.45193655293315,27.222091615338236,215499.65515029244,4968.929571073546,1,0,0,1,0,0,0,0,1.161231972592403,BENIGN
41014,302187,3,49,724,11684,442,97,209.73403160000973,341.3564712545949,416,27,830.6247171942574,228.0242538089688,13822.765795340158,4191.261930330859,0,0,0,1,1,1,0,0,0.682736908865746,BENIGN
20507,652534,43,49,12522,1182,94,18,247.77752555248836,471.5871353125476,1173,13,581.5278389533574,328.0083058957816,931336.6699430556,2657.2857712485347,1,0,0,1,0,1,0,0,1.5498423198915363,PortScan
48806,211155,4,6,14641,6839,413,17,549.9623916105664,334.00481854902466,108,43,769.0877088758368,262.44447353294515,836881.6360986029,6451.401321908878,0,1,0,0,0,0,1,1,1.374726886487288,PortScan
33848,513288,11,13,10722,11786,493,68,352.10921957358323,197.2714745077892,886,92,54.40878422310658,282.9037306091809,344496.4635558626,2073.25837585834,1,1,1,1,1,0,0,1,1.0485996716963402,BENIGN
804,594605,45,5,4311,3642,940,85,910.104528849306,175.97134772148007,1141,77,661.1102941197811,215.3613247830513,50642.39141927221,7293.484753431452,1,0,1,0,0,1,1,1,1.8326708202161748,BENIGN
23493,799457,31,22,7710,13467,1388,83,660.7201586566672,129.88854001501775,852,80,283.95927580402474,302.6678986162692,769601.9831285976,9019.479337694718,0,1,0,0,0,1,0,1,1.8518021118269332,DoS
46935,819619,21,2,1178,7545,1379,94,563.0367814190372,102.679594202995,206,67,767.9888458557242,473.12238619600544,361532.6442697807,1708.5932869005762,1,0,0,0,0,1,0,1,1.0538114803971552,BruteForce
7963,927461,16,49,7226,13340,1063,21,622.7633708534513,467.0690320140411,450,26,333.51319130669685,168.41320552474198,393115.1828608513,2122.077142889464,0,1,1,0,0,1,0,1,1.0440678513024253,BENIGN
29818,862622,16,43,9092,8706,630,41,347.32060714746467,114.00692462540395,242,21,756.4988886630432,492.0073943524876,700679.0092160335,4668.186951168766,1,0,1,0,0,0,0,0,0.5907329442750577,DDoS
2502,290999,3,16,8789,4077,1305,68,710.6367911598404,246.72738127768275,9,50,301.92787778261896,244.99886256128235,549225.1250338302,4099.885675025613,1,0,1,1,1,0,1,0,0.6589691199072913,BENIGN
39670,97360,29,35,525,11479,332,80,949.9201069352796,305.6414098214832,1032,5,568.2575627534843,285.3462385232511,483544.3877753501,7946.056825065238,1,1,0,0,1,0,1,1,1.3494282036875216,BENIGN
37924,547937,38,6,13655,14649,1067,33,555.5496107355939,486.2174722197012,733,90,126.48925930934496,443.1823800195249,400434.1636450071,2115.506291885883,0,0,0,0,1,1,0,1,1.151660329703676,BENIGN
53315,208525,1,4,3008,13086,528,52,784.6388381086566,220.96323285037863,1223,42,300.75994194231225,5.905823839093298,694930.3793777121,2575.882504004236,0,1,1,1,1,1,0,1,1.063764516879144,BENIGN
60363,742407,20,14,5368,9570,52,62,998.0193776916732,138.0545626026539,527,54,493.27595262987296,405.32644482033214,323183.682798832,3033.9430781657043,0,0,0,1,1,0,1,0,1.5622173268588595,BENIGN
61287,947264,26,1,12570,7272,929,61,620.9745836142555,325.843184244874,184,32,409.93826057367306,219.9765111480149,9670.562354279313,9726.135738172694,0,1,0,0,0,1,1,1,0.8086743790740568,BENIGN
8150,19817,36,47,7675,13920,1285,24,254.2714408883753,307.5962309424164,252,2,912.0974754965794,174.18511221320685,224217.5087396601,4377.801863914792,0,0,1,1,0,1,1,0,0.7608393601835008,BENIGN
7134,662588,48,29,4753,14213,830,36,90.86326616105256,484.5853710565553,611,34,698.0331642467366,105.7589608078481,164552.26531957628,8056.117702948657,0,0,1,0,1,1,0,0,0.939184722166867,BENIGN
45393,794062,9,24,11263,731,125,78,559.9426232310334,27.386520073456147,990,67,508.1488230306944,196.1838077045072,532059.8652780756,2563.444022889209,1,1,0,0,1,1,0,1,1.5161683307656564,PortScan
64046,437771,33,6,1369,12546,585,24,795.0199029623874,280.5286656430167,1330,59,433.9607891033806,176.4528802751102,492716.3920475279,8098.0177179827,0,0,1,1,1,0,0,0,1.761119101640785,BruteForce
16916,329794,14,35,165,2424,213,53,939.853530333792,19.001039504034964,1067,82,244.8275049387712,85.75437105970497,222966.9870320924,717.4493277378772,1,0,0,0,1,1,0,1,1.8599664497759505,BENIGN
47374,294762,2,34,6125,14036,6,57,700.0573725382803,325.0341084365898,402,99,361.7665412873511,282.955415380096,555536.018758886,9326.276446794913,0,1,1,0,1,0,1,0,1.819009239060028,PortScan
30183,423683,30,29,10730,9864,1150,50,901.8875547230492,422.1933525243333,550,39,455.773523840801,420.7665492372405,600042.2416554695,1682.335489766724,0,1,1,0,1,1,1,1,1.481364247495956,BruteForce
29144,223537,14,12,13440,8402,828,5,281.1368315838188,182.8194146077529,718,38,511.4542887860116,452.9819032045488,992317.4181554712,2135.934298509858,1,1,0,1,1,1,0,0,1.4783765823465416,BENIGN
44567,261692,24,18,7957,7987,1248,14,227.1854618788568,39.44796446117294,37,35,923.6328181155686,454.13887940085016,171725.4518639368,4144.59207671556,0,0,1,1,1,0,1,1,0.6767216964701214,BENIGN
20378,448626,35,32,10924,8459,884,60,242.1595226549288,42.30067363330144,784,13,849.3781396414728,452.0110693000999,422508.7001010479,8736.44440005953,0,1,0,0,1,1,0,0,1.0341515735368891,BENIGN
40271,866965,18,33,12565,13468,983,48,951.2233498212366,319.301000301686,828,40,711.7760679927712,25.964562189488777,230727.42692267845,598.1191233144625,0,0,1,1,1,1,1,0,1.1504403911877203,BENIGN
24131,793581,14,15,1193,2584,1411,58,203.9248533469501,460.8480324026633,1141,6,552.140082564646,183.27430796507372,948932.9668978754,2166.13134763311,0,1,1,0,0,1,0,0,1.4503159998615602,BruteForce
8666,331329,31,30,1907,974,574,12,282.45187871710897,482.8674083133977,1241,58,825.1287414708776,171.89895340298622,14166.85771170186,9197.85480228082,0,0,1,0,0,1,1,0,1.1595408799481333,BENIGN
26235,442883,36,2,7340,77,347,20,815.3550790111724,252.2052578832211,1499,34,749.3386730848382,493.5693314029348,866839.8236592837,953.0043215588062,1,0,0,1,1,0,1,0,1.6687719303979556,BENIGN
8014,597898,30,1,13441,10356,607,70,837.4833966333615,247.33264858266483,1355,76,607.2306327099864,234.65385893332223,981656.7928560058,4589.059324643651,1,1,0,0,0,1,1,0,0.8740577248482089,BENIGN
61409,595924,22,21,12237,11691,1039,87,502.1303624967151,341.6302090118841,385,79,696.6636662765478,455.9555428885735,259933.9560384776,8389.3094240191,0,1,0,0,1,0,1,1,1.463699648500873,BENIGN
11505,685615,3,24,6863,2131,669,99,985.6909755223204,84.77602550859974,1347,38,472.6908131075437,174.1628022654211,419132.4241916098,1162.7755500188891,1,1,0,0,0,1,1,1,1.719380800034839,BENIGN
26818,623028,9,19,4777,7079,694,38,899.810968193322,450.1447421008081,745,61,88.07852886261288,416.16881586841936,307760.3038573101,673.2388916206386,1,1,0,0,0,1,0,1,1.0397117692467794,DDoS
24818,75878,21,11,3123,10312,1460,71,677.1238695030256,435.2885652906474,78,73,971.6458895254408,333.52288214846266,219696.79217608648,7859.877010652979,1,0,0,1,1,1,0,0,0.5914835047595087,DDoS
49859,47324,40,20,10475,8897,694,28,753.1213247163408,309.1110907233134,1428,87,732.7406276684093,461.719716449513,826404.0476509798,1989.746119796613,0,1,0,0,1,1,1,1,0.6904024195904108,BruteForce
19135,656952,4,18,3343,13390,12,47,880.9668851103764,149.76050319371095,695,8,644.904241315618,224.57728085817516,647422.9485204436,2417.7002823066528,1,0,0,0,0,0,1,0,1.3659353354549673,BENIGN
6585,69520,32,38,2643,2192,59,88,100.67315485492436,279.7294978050514,528,23,819.9060006115774,82.9008440738731,435197.00997359375,3307.136770597352,1,0,1,1,1,0,0,1,1.223670376843122,BENIGN
8000,536052,46,49,7682,7740,158,10,88.51914806605464,187.30417130356295,694,53,614.7560915288767,451.2235582483018,561822.0281291466,7955.720187910214,1,1,1,1,1,1,1,0,1.7811553825848407,DoS
25073,77795,17,9,4918,2318,568,45,705.4705615346387,499.16006208830936,355,52,431.7760398667865,305.5079566952626,512893.7373166894,5450.93891511504,1,0,0,1,1,0,1,0,1.8443938906786603,BENIGN
45465,386602,47,22,12955,23,349,25,64.70833618063958,105.22688924998307,609,20,901.749906383071,474.6108142799705,706037.0034513064,9354.541232194528,1,0,0,1,0,1,0,0,1.356423652913941,BENIGN
28549,589717,28,42,2545,14039,489,46,941.5389504684354,22.31602739049601,525,69,280.9045685744725,48.06834981876243,296847.0212370191,170.67737592494197,0,1,1,0,1,0,0,1,0.7439604295581416,BENIGN
41151,520499,23,26,341,180,149,78,879.9852228687648,283.5374926586785,772,8,677.0286050985218,85.79388314528539,811302.0197658967,929.8548594336332,0,0,1,1,1,1,0,0,1.9405130395203565,BENIGN
28222,588371,36,14,12629,10131,564,39,415.60381226569376,458.4455575000546,374,86,824.400731658125,411.852749855014,389489.8834056653,5538.937455155266,1,1,1,1,0,1,1,0,1.3362861655396,DDoS
1810,28027,42,13,11369,11625,552,74,988.8167053730092,462.4366692841388,41,90,212.1708344644351,116.87182547625262,914731.7616498966,8718.766273815896,1,0,0,0,1,1,1,1,1.670902951583459,PortScan
12930,555463,3,24,2312,7765,651,39,949.7331696267776,378.56784782972994,1309,10,752.1477145925977,331.5125773953828,738161.972079488,4312.404802061029,1,0,0,1,0,1,0,1,1.988599864006105,BENIGN
52507,527760,48,6,12840,2159,1409,31,158.57672154501373,77.45608964073772,759,41,788.4250087182098,269.2562644497316,823372.800943272,4513.788226483641,0,0,0,1,0,1,1,1,1.0511179138779734,BENIGN
45563,786640,23,43,10681,9778,1317,22,881.2400202732003,257.0112777819952,1448,22,981.952232459348,267.3960664200094,14556.000334111905,7217.828277256685,0,0,1,1,1,0,1,1,1.8494452089086384,BENIGN
1272,907670,4,7,3862,14732,797,12,323.74201458170626,219.0121304773751,1182,33,603.4716537147488,6.221908978068015,71423.59875971534,3212.068030542018,0,1,1,0,0,0,0,1,0.6622689462605524,BENIGN
39754,19976,35,25,7055,3621,1253,66,389.7585221094658,282.33368742050163,1390,92,650.9503960092718,307.20866510797447,351041.94191267894,75.00599362198682,1,0,1,0,1,1,0,0,0.59985254660162,BENIGN
58102,787020,11,9,2514,4894,1419,81,226.6557731214753,16.783991412879793,425,43,362.98076415966335,33.0732303333898,12081.401030967994,9594.017926520057,1,0,0,1,1,1,1,0,0.8278505178076114,BENIGN
15387,797469,7,44,880,12465,1359,5,855.3232823129135,6.727602396692596,1229,26,342.20504087251834,148.78881310412274,93261.64947381598,1792.2234976299849,1,0,0,1,1,0,1,0,0.7582181514223427,PortScan
5257,61368,1,43,4429,2909,1231,80,937.8301689161176,419.31885892254303,1196,60,186.49261453703173,63.8929514191957,782152.2068870513,6335.497771407476,0,0,0,1,1,0,1,0,0.6286517070251743,BENIGN
37347,886963,1,5,8265,3835,294,13,773.5706520542125,372.15834405849256,1346,33,796.2682875693371,440.405454823906,281356.6860851427,1300.8358556528458,0,0,0,1,0,1,0,1,1.6049019814784315,PortScan
63360,189785,22,31,10451,5256,649,53,830.564267306275,200.09595520001432,1382,65,682.4126706702243,24.997841737098582,156892.54913406723,3673.091136657951,1,1,1,1,1,1,0,1,1.5061779223971254,BENIGN
56566,832462,49,36,4415,745,646,89,895.4674001957379,10.280368294159144,286,97,482.3990108341156,317.08226272677643,754548.4028978187,4432.432221398167,1,1,0,1,1,1,1,0,1.9731954541875083,BruteForce
39302,791543,2,35,2252,14786,368,14,145.1608599254634,162.83164542360828,949,8,344.52471564170344,364.33892092989566,823779.6299821774,8290.980820110266,1,1,1,0,0,1,1,1,1.5972037422714955,BENIGN
50499,77975,23,34,10400,2225,261,72,388.1593052606485,131.56289997265344,775,54,556.5223747784592,29.559918022485988,763304.7934885387,2220.328765837969,1,0,1,0,1,0,1,1,1.5468508646315615,DoS
10646,733845,31,13,12997,13682,38,25,518.8720157310697,219.6449113536025,827,49,268.87012999540264,9.078645812724783,326501.0028668097,4067.831704146218,0,0,0,0,1,1,1,1,0.6582906131035171,DoS
